vegID,birdID,broodID,age(d),age_class,Use,avgdbh(cm),maxdbh(cm),basal_area(m^2/ha),canopy_ht(m),sapling_cover(%),%shrub_cover,slope,aspect,beers' aspect,%understory,%midstory,%overstory,dist_canopygap(m),dist_water(m),,Use,"1 = used, 2  = random available, 0 = nest"
Cd10,12,14,10,3,1,38.6,62,25.25,28,0,45,20,92,1.68,28.6,47.6,95.2,6,98,,,
Mad12,13,14,12,3,1,41.9,74.5,27.55,28,10,70,26,105,1.5,66.7,66.7,71.4,1,63,,,
Mad11,13,14,11,3,1,28.5,54.8,22.96,28.4,6,50,26,103,1.53,23.8,85.7,95.2,7,57,,,
FR3d9,5,7,9,3,1,48.1,90.5,27.55,28.5,10,1,3,336,1.36,42.9,90.5,90.5,8,2665,,,
FRJd9,4,7,9,3,1,49.3,68,41.32,28.5,35,10,3,35,1.98,66.7,76.2,85.7,15,2658,,,
Cd7,12,14,7,3,1,48.9,77,22.96,30,0,15,29,85,1.77,14.3,57.1,100.0,25,95,,,
Mad7,13,14,7,3,1,38.7,77,27.55,30,0,20,28,95,1.64,42.9,90.5,100.0,11,100,,,
BBd11,11,13,11,3,1,37.8,59.8,45.91,30,0,20,28,114,1.36,28.6,76.2,95.2,28,535,,,
BBd8,11,13,8,3,1,55.1,67.9,9.18,31,20,40,11,47,2,9.5,0.0,57.1,2,663,,,
Nd9,15,16,9,3,1,37.5,65.9,25.25,31,65,30,27,95,1.64,61.9,66.7,95.2,9,3560,,,
FR3D10,5,7,10,3,1,39.3,90.1,78.05,31,4,20,2,350,1.57,71.4,81.0,90.5,6,2627,,,
FRJd11,4,7,11,3,1,50.5,68.5,50.51,31,20,25,3,9,1.81,28.6,66.7,100.0,30,2586,,,
PCd11,14,15,11,3,1,39.5,65.6,36.73,31.2,20,0,35,149,0.76,95.2,71.4,81.0,8,98,,,
PCd12,14,15,12,3,1,35.2,56.9,11.48,31.2,90,30,28,141,0.9,100.0,76.2,61.9,4,74,,,
BBd9,11,13,9,3,1,56.7,75.8,11.48,31.3,45,35,12,85,1.77,57.1,61.9,57.1,5,644,,,
Md12,16,16,12,3,1,32.4,70.8,25.25,31.3,25,5,28,120,1.26,28.6,95.2,100.0,6,3190,,,
Md10,16,16,10,3,1,38.4,73.9,34.44,31.5,69,75,17,265,0.23,38.1,61.9,95.2,6,3362,,,
PCd7,14,15,7,3,1,29.1,43.4,13.77,31.7,85,1,45,140,0.91,95.2,71.4,71.4,8,166,,,
PCd10,14,15,10,3,1,31.6,54.4,22.96,31.7,33,3,35,150,0.74,66.7,100.0,100.0,11,156,,,
SGd10,19,18,10,3,1,39.7,63.1,36.73,32,0,0,21,68,1.92,19.0,76.2,95.2,7,533,,,
SGd11,19,18,11,3,1,49.2,66.9,13.77,32,50,20,17,50,2,42.9,23.8,61.9,2,565,,,
SGd12,19,18,12,3,1,47.6,66.9,22.96,32,7,8,15,47,2,28.6,52.4,76.2,4,557,,,
BBd7,11,13,7,3,1,57.1,69,6.89,32.3,28,30,16,69,1.91,38.1,23.8,81.0,5,680,,,
Mad10,13,14,10,3,1,45.6,71.3,20.66,32.5,5,95,26,93,1.67,38.1,85.7,100.0,5,63,,,
Cd11,12,14,11,3,1,49.3,71.2,27.55,32.5,0,35,30,77,1.85,19.0,85.7,100.0,25,117,,,
FPd12,3,6,12,3,1,53.5,69.9,22.96,33,85,15,9,80,1.82,71.4,61.9,76.2,10,3260,,,
FR3d12,5,7,12,3,1,50.5,76.1,36.73,33.5,0,4,2,345,1.5,0.0,52.4,100.0,6,2447,,,
WWd8,17,16,8,3,1,53.9,76,16.07,35,4,85,9,83,1.79,4.8,23.8,90.5,1,3170,,,
WWd9,17,16,9,3,1,52.7,61.5,11.48,35,10,50,9,74,1.87,19.0,0.0,76.2,8,3130,,,
Mad8,13,14,8,3,1,40.8,71.2,27.55,36,0,44,27,95,1.64,33.3,47.6,100.0,25,69,,,
Cd8,12,14,8,3,1,51.9,75,22.96,37,20,70,36,85,1.77,38.1,95.2,71.4,3,126,,,
SGd8,19,18,8,3,1,46.8,62.5,39.03,37,4,12,18,48,2,23.8,66.7,100.0,2,520,,,
Cd9,12,14,9,3,1,39,72.2,32.14,37,15,10,30,96,1.63,33.3,85.7,100.0,10,40,,,
Nd7,15,16,7,3,1,54.6,54.6,2.3,37.5,60,40,23,90,1.71,100.0,47.6,85.7,3,3635,,,
FRd1,7,9,1,1,1,5,5,0,20,30,10,31,104,1.52,76.2,38.1,23.8,6,34,,,
FRd2,7,9,2,1,1,14,18,4.59,20,50,50,18,90,1.71,61.9,38.1,23.8,10,42,,,
Cd0,12,14,0,1,1,34.5,63.2,22.96,21,18,12,29,103,1.53,38.1,95.2,100.0,12,44,,,
Mad1,13,14,1,1,1,27.7,54.2,18.37,22.8,18,9,42,111,1.41,52.4,71.4,71.4,0,25,,,
FPd0,3,6,0,1,1,45.9,75.4,18.37,23,60,35,15,92,1.68,52.4,90.5,23.8,7,3322,,,
FPd1,3,6,1,1,1,53.7,75.4,13.77,23,85,30,8,88,1.73,85.7,76.2,28.6,1,3310,,,
FRd0,7,9,0,1,1,43,43,2.3,23.5,40,6,34,112,1.39,57.1,47.6,52.4,4,38,,,
Md2,16,16,2,1,1,38,63.3,34.44,24,2,6,18,185,0.23,38.1,66.7,100.0,25,3147,,,
FRJd2,4,7,2,1,1,53.9,88.9,27.55,24.5,20,20,13,43,2,81.0,85.7,90.5,30,2904,,,
Nd1,15,16,1,1,1,40.3,66.1,25.25,25,25,40,16,183,0.26,9.5,28.6,100.0,13,3144,,,
WWd1,17,16,1,1,1,40.8,64.6,13.77,25,13,67,12,186,0.22,19.0,23.8,95.2,4,3144,,,
Cd1,12,14,1,1,1,47.8,70,11.48,26,40,15,32,100,1.57,66.7,85.7,85.7,7,34,,,
FR3d1,5,7,1,1,1,53,89.3,27.55,26,10,15,22,68,1.92,52.4,81.0,90.5,10,2917,,,
FRJd1,4,7,1,1,1,44.7,91.1,20.66,26,2,1,12,94,1.66,52.4,71.4,100.0,15,2905,,,
Mad2,13,14,2,1,1,27.5,56.8,22.96,26,50,8,22,100,1.57,61.9,71.4,95.2,5,27,,,
SGd1,19,18,1,1,1,46.6,60.9,20.66,26.2,2,0,22,58,1.97,23.8,71.4,100.0,25,516,,,
SGd0,19,18,0,1,1,63.5,85,16.07,27.5,50,10,17,55,1.98,38.1,19.0,66.7,1,545,,,
FSued2,6,8,2,1,1,37.6,76.2,27.55,27.5,10,0,2,58,1.97,76.2,71.4,100.0,5,4027,,,
WWd2,17,16,2,1,1,35.3,50,20.66,27.5,20,66,20,220,0,23.8,28.6,100.0,15,3127,,,
FSued0,6,8,0,1,1,53.3,68.5,32.14,29.3,55,20,6,190,0.18,85.7,76.2,90.5,10,4085,,,
FPd2,3,6,2,1,1,57.9,75.3,22.96,29.5,95,45,10,100,1.57,95.2,90.5,66.7,2,3311,,,
FSued1,6,8,1,1,1,54.1,66.6,41.32,29.8,95,5,5,190,0.18,100.0,71.4,100.0,14,4081,,,
Mad0,13,14,0,1,1,30.3,47.8,9.18,31,38,0,34,106,1.48,61.9,57.1,71.4,4,25,,,
SGd2,19,18,2,1,1,39.2,63,34.44,31.5,30,0,22,18,1.89,14.3,100.0,100.0,13,546,,,
PCd0,14,15,0,1,1,34.3,52.7,34.44,31.7,26,3,32,132,1.05,81.0,95.2,90.5,40,200,,,
PCd1,14,15,1,1,1,29,48.9,22.96,31.7,40,1,18,145,0.83,76.2,61.9,95.2,12,165,,,
PCd2,14,15,2,1,1,29.6,48.9,11.48,31.7,30,7,18,152,0.71,71.4,90.5,85.7,11,159,,,
Ard0,9,12,0,1,1,58.7,71.9,16.07,32,10,40,18,87,1.74,0.0,0.0,61.9,1,3387,,,
Tyd0,10,12,0,1,1,55.5,93.5,13.77,32,55,12,15,46,2,47.6,28.6,81.0,1,3414,,,
BBd0,11,13,0,1,1,65.7,78.6,11.48,32.3,30,30,15,79,1.83,57.1,0.0,71.4,0,699,,,
BBd1,11,13,1,1,1,67.7,78.6,9.18,32.3,19,20,12,62,1.96,33.3,0.0,66.7,0,697,,,
FEB5Ad0,1,4,0,1,1,53.7,67.6,41.32,32.5,60,1,6,356,1.66,57.1,76.2,90.5,8,4769,,,
SidKd0,8,10,0,1,1,56.3,67.3,32.14,32.5,55,1,7,356,1.66,71.4,76.2,95.2,9,4813,,,
Cd2,12,14,2,1,1,45.6,82.3,34.44,32.8,0,17,28,108,1.45,9.5,42.9,90.5,8,65,,,
FEB9d0,2,5,0,1,1,48.5,72.5,32.14,34,21,0,20,26,1.95,28.6,100.0,95.2,13,2998,,,
FR3d0,5,7,0,1,1,48,92,36.73,34,52,5,10,74,1.87,76.2,66.7,100.0,12,2889,,,
FRJd0,4,7,0,1,1,76.9,91.5,18.37,34,70,67,7,70,1.91,57.1,85.7,95.2,40,2890,,,
FEB9d1,2,5,1,1,1,72.6,118.8,27.55,34,46,30,9,18,1.89,38.1,52.4,90.5,6,3022,,,
SCd0,18,17,0,1,1,45.7,63.1,6.89,35,85,40,2,315,1,47.6,4.8,4.8,0,4764,,,
SCd1,18,17,1,1,1,45.7,63.1,6.89,35,85,40,2,315,1,47.6,4.8,4.8,0,4764,,,
FR3d2,5,7,2,1,1,56.4,76.2,27.55,35,75,3,5,50,2,71.4,76.2,100.0,45,2868,,,
Socd0,21,6,0,1,1,61.8,76.8,18.37,36,90,14,9,105,1.5,100.0,85.7,85.7,8,3348,,,
SMFd0,20,19,0,1,1,61.2,72,11.48,36.5,45,35,13,61,1.96,14.3,14.3,38.1,0,817,,,
FEB9d2,2,5,2,1,1,52,76.6,32.14,36.5,33,0,8,30,1.97,57.1,95.2,100.0,35,2949,,,
BBd2,11,13,2,1,1,64.8,73.4,13.77,37.7,40,60,9,32,1.97,47.6,0.0,71.4,0,697,,,
PCd19,14,15,19,4,1,5,5,0,2.2,30,80,40,17,1.88,47.6,9.5,0.0,0,41,,,
WWd13,17,16,13,4,1,66.9,66.9,2.3,2.4,96,85,14,177,0.33,76.2,0.0,0.0,0,3094,,,
WWd14,17,16,14,4,1,5,5,0,4,65,60,4,127,1.14,57.1,0.0,0.0,0,3087,,,
PCd20,14,15,20,4,1,17.5,19,6.89,12.6,60,14,10,46,2,42.9,47.6,0.0,4,93,,,
Mad18,13,14,18,4,1,28.8,64.4,29.84,19,60,10,26,102,1.54,61.9,81.0,81.0,7,9,,,
SGd16,19,18,16,4,1,31.8,63,36.73,20,5,35,30,175,0.36,52.4,85.7,100.0,20,561,,,
Cd19,12,14,19,4,1,28.6,51.3,18.37,21.4,100,25,34,45,2,76.2,90.5,90.5,10,3,,,
Cd18,12,14,18,4,1,28.8,67.1,29.84,23.4,90,11,28,95,1.64,81.0,90.5,90.5,6,9,,,
BBd16,11,13,16,4,1,42.2,68,18.37,23.5,0,6,25,4,1.75,19.0,71.4,100.0,11,533,,,
FPd13,3,6,13,4,1,43.9,68.8,27.55,23.8,60,40,12,111,1.41,61.9,71.4,100.0,10,3149,,,
Mad15,13,14,15,4,1,42.1,68,20.66,24,70,25,35,95,1.64,66.7,100.0,90.5,12,32,,,
WWd17,17,16,17,4,1,37.3,45.8,9.18,24,80,33,27,200,0.09,61.9,19.0,33.3,0,3139,,,
Cd20,12,14,20,4,1,36.2,76.5,34.44,24.3,55,25,43,108,1.45,52.4,95.2,100.0,14,24,,,
FPd14,3,6,14,4,1,31.5,55.7,27.55,24.5,60,40,7,160,0.58,81.0,81.0,76.2,15,3080,,,
FRJd16,4,7,16,4,1,48.6,69.2,18.37,24.5,20,1,8,89,1.72,33.3,85.7,95.2,15,2499,,,
Cd17,12,14,17,4,1,39,57.5,16.07,24.5,45,25,25,94,1.66,76.2,85.7,85.7,10,0,,,
FR3d17,5,7,17,4,1,49.4,69.2,27.55,24.5,40,25,8,86,1.75,61.9,81.0,100.0,15,2502,,,
FRJd17,4,7,17,4,1,49.4,69.2,27.55,24.5,40,25,8,86,1.75,61.9,81.0,100.0,15,2502,,,
Mad17,13,14,17,4,1,39,57.5,16.07,24.5,45,25,25,94,1.66,76.2,85.7,85.7,10,0,,,
Nd13,15,16,13,4,1,37.5,72.5,25.25,25,12,11,8,325,1.17,28.6,76.2,95.2,30,2828,,,
FPd20,3,6,20,4,1,32.9,48.4,41.32,25.3,45,10,8,5,1.77,61.9,66.7,85.7,15,3015,,,
FPd17,3,6,17,4,1,41.2,68.7,27.55,26,45,2,12,164,0.52,90.5,66.7,95.2,30,3063,,,
Mad20,13,14,20,4,1,51.3,80.5,25.25,26,7,25,19,115,1.34,28.6,85.7,95.2,11,13,,,
WWd20,17,16,20,4,1,39.2,62.3,34.44,26.3,0,5,26,70,1.91,14.3,61.9,100.0,15,1476,,,
FR3d18,5,7,18,4,1,66.7,86,18.37,26.5,0,0,2,64,1.95,57.1,85.7,66.7,10,2538,,,
FR3d13,5,7,13,4,1,41.4,50.6,27.55,27,0,0,3,314,0.98,42.9,61.9,61.9,4,2382,,,
FR3d14,5,7,14,4,1,40.5,55,50.51,27,0,0,1,285,0.5,19.0,61.9,100.0,12,2340,,,
FPd16,3,6,16,4,1,42,74.4,41.32,27,30,10,10,163,0.53,66.7,71.4,100.0,60,3150,,,
Md16,16,16,16,4,1,32.8,72.3,29.84,27,7,8,9,250,0.09,14.3,81.0,100.0,25,2052,,,
WWd16,17,16,16,4,1,32.7,53.5,22.96,27,8,6,1,273,0.33,28.6,33.3,85.7,3,3342,,,
SGd14,19,18,14,4,1,47.3,72.6,32.14,27.5,22,15,23,66,1.93,52.4,42.9,95.2,7,583,,,
Nd15,15,16,15,4,1,41.6,69.1,27.55,27.5,55,8,9,200,0.09,42.9,85.7,100.0,15,2323,,,
Mad13,13,14,13,4,1,44.6,74.5,25.25,28,3,50,26,105,1.5,42.9,85.7,100.0,6,107,,,
WWd15,17,16,15,4,1,30.4,50.8,18.37,28.3,5,3,15,205,0.06,38.1,61.9,90.5,3,3388,,,
PCd13,14,15,13,4,1,45.3,67.7,25.25,28.5,85,6,35,128,1.12,71.4,90.5,100.0,10,98,,,
FR3d20,5,7,20,4,1,44,60.5,32.14,28.5,33,15,9,10,1.82,61.9,85.7,90.5,5,2384,,,
SGd13,19,18,13,4,1,43.7,66.1,18.37,28.6,50,8,30,65,1.94,28.6,71.4,100.0,20,558,,,
PCd15,14,15,15,4,1,38.2,49.6,20.66,28.8,12,1,32,145,0.83,81.0,90.5,95.2,4,134,,,
PCd16,14,15,16,4,1,46.2,67.8,25.25,28.8,20,3,32,133,1.03,52.4,61.9,95.2,8,127,,,
PCd17,14,15,17,4,1,50.9,68.4,9.18,28.8,75,75,35,139,0.93,61.9,66.7,66.7,4,106,,,
FPd15,3,6,15,4,1,38.2,59,20.66,29,40,35,17,170,0.43,61.9,90.5,95.2,20,3095,,,
FR3d19,5,7,19,4,1,57.5,75.4,27.55,29,0,0,5,26,1.95,23.8,76.2,85.7,18,2457,,,
FRJd19,4,7,19,4,1,57.5,75.4,27.55,29,0,0,5,26,1.95,23.8,76.2,85.7,18,2456,,,
FRJd14,4,7,14,4,1,41.9,61.4,27.55,29.5,0,0,1,320,1.09,33.3,71.4,95.2,8,2341,,,
Nd18,15,16,18,4,1,37.9,67.7,41.32,29.5,0,15,10,272,0.32,42.9,100.0,90.5,27,2176,,,
FRJd13,4,7,13,4,1,54.7,84.7,50.51,30,0,0,3,10,1.82,38.1,100.0,100.0,25,2417,,,
Md14,16,16,14,4,1,37.2,80.9,27.55,30,40,1,11,230,0,9.5,90.5,100.0,25,2199,,,
FR3d15,5,7,15,4,1,37.1,62.9,27.55,30,8,6,8,170,0.43,38.1,66.7,90.5,8,2408,,,
FPd18,3,6,18,4,1,38.3,63.9,27.55,30,45,15,6,150,0.74,61.9,100.0,76.2,20,3112,,,
FRJd18,4,7,18,4,1,51.4,94.8,68.87,30,0,0,4,40,2,57.1,81.0,100.0,11,2514,,,
