,x,number,tree,nest_height,roof,species,bird,AF,habitat,near.magpie,near.other,near.amurfalcon,near.empty,near.water,near.field,near.wetland,near.soil,near.street,near.settlement,prop.field,prop.forest,prop.reed,prop.shrubs,prop.soil,prop.steppe,prop.water,prop.wetland,prop.willowshrubs,slope_percent,slope,aspect,x,number,species,bird,AF,habitat,fire_at_nest,prop.less_burned,prop.often_burned,x,number,species,bird,AF,habitat,TA,NP,PD,LPI,TE,ED,LSI,AREA_MN,AREA_AM,AREA_MD,SHAPE_MN,SHAPE_AM,FRAC_MN,FRAC_AM,PARA_MN,PARA_AM,CIRCLE_MN,CIRCLE_AM,CONTIG_MN,CONTIG_AM,PAFRAC,PROX_MN,ENN_MN,CONTAG,PLADJ,IJI,COHESION,DIVISION,MESH,SPLIT,PR,PRD,SHDI,SIDI,SHEI,SIEI,AI
21,21,MN23,dead,5.4,yes,AF,af,1,Forest,411.45,251.18,2.75,286.06,17.54,151.25,25.64,149.14,271.44,5013.87,8.94,6,2.41,1.69,1.65,5.07,0.77,54.38,21.97,6.2,3.58,288.4,21,MN23,AF,af,1,Forest,3,63.12,0,21,MN23,AF,af,1,Forest,2292.625,3069,133.864,19.8544,623700,272.0462,33.6016,0.747,154.7566,0.0625,1.1994,9.1687,1.0367,1.2594,1394.29,553.4486,0.2767,0.7034,0.1135,0.6375,1.549,93.6664,76.8914,40.0261,65.4095,67.7504,96.7592,0.9325,154.7566,14.8144,9,0.3926,1.5762,0.7038,0.7174,0.7917,66.2127
22,22,AF1,Quercus,8,yes,AF,af,1,Shrubs,1125.39,798.26,664.51,2105.14,254.58,10.84,262.7,1099.45,1190.26,6400.73,9.99,5.23,1.53,2.22,0.06,5.25,1.43,51.87,22.42,1.4,0.8,225,22,AF1,AF,af,1,Shrubs,3,17.48,0,22,AF1,AF,af,1,Shrubs,1961.375,2773,141.3804,47.8332,575850,293.5951,33.569,0.7073,458.7955,0.0625,1.1943,16.3153,1.0362,1.2997,1403.4226,597.387,0.2686,0.5944,0.1103,0.6112,1.5549,260.6448,82.0242,43.0751,62.6633,62.5339,98.2794,0.7661,458.7955,4.2751,9,0.4589,1.4204,0.6611,0.6465,0.7437,63.4195
23,23,MN97,Quercus,8,yes,AF,af,1,Shrubs,3.05,455.63,691.4,722.68,135.44,5.31,140.84,740.42,128.79,5589.09,14.01,6.02,1.83,2.01,1.55,4.45,0.7,50.76,18.68,5.1,2.92,209,23,MN97,AF,af,1,Shrubs,3,43.58,0,23,MN97,AF,af,1,Shrubs,1961.5,2751,140.2498,44.0607,564900,287.9939,32.9521,0.713,393.0772,0.0625,1.1973,14.7396,1.0367,1.289,1394.3734,586.184,0.2739,0.6189,0.114,0.6169,1.5475,233.4774,77.9692,41.0868,63.3635,67.0797,98.0817,0.7996,393.0772,4.9901,9,0.4588,1.4884,0.6803,0.6774,0.7653,64.1595
24,24,MN21,Populus,11.3,no,AF,af,1,Forest,360.5,360.5,14.26,406.75,16.55,63.35,58.88,388.92,399.68,5494.25,11.2,5.48,2.28,1.71,6.88,4.48,0.81,48.36,18.81,5.6,3.23,344.7,24,MN21,AF,af,1,Forest,2,56.75,0,24,MN21,AF,af,1,Forest,1859.6875,2487,133.7321,30.7108,513025,275.8662,30.8565,0.7478,214.9183,0.0625,1.2059,10.4636,1.0383,1.2669,1383.6809,562.0837,0.2893,0.7028,0.1194,0.6311,1.551,139.2611,78.4058,39.3223,64.8698,68.999,97.2291,0.8844,214.9183,8.653,9,0.484,1.5864,0.7083,0.722,0.7969,65.756
25,25,MN22,Populus,11,yes,AF,af,1,Forest,362.39,362.39,14.26,414.9,25.04,49.59,72.68,390.42,401.79,5490.69,11.11,5.47,2.29,1.71,6.97,4.48,0.81,48.35,18.81,4,2.33,14,25,MN22,AF,af,1,Forest,2,56.76,0,25,MN22,AF,af,1,Forest,1855.75,2600,140.1051,34.9555,520500,280.4796,31.2899,0.7138,245.9512,0.0625,1.1957,11.3091,1.0364,1.2683,1395.565,571.3323,0.2744,0.6674,0.1126,0.6263,1.5536,147.6153,77.035,38.9944,64.2917,68.9749,97.4238,0.8675,245.9512,7.5452,9,0.485,1.5903,0.7082,0.7238,0.7967,65.172
26,26,MN23,dead,5.4,yes,AF,af,1,Wetland,559.81,559.81,200.46,582.09,174.92,29.09,95.84,588.62,597.28,5689.47,11.84,5.46,2.1,1.67,8.99,4.21,0.82,44.03,17.99,6.6,3.8,296.5,26,MN23,AF,af,1,Wetland,3,63.12,0,26,MN23,AF,af,1,Wetland,2292.625,3069,133.864,19.8544,623700,272.0462,33.6016,0.747,154.7566,0.0625,1.1994,9.1687,1.0367,1.2594,1394.29,553.4486,0.2767,0.7034,0.1135,0.6375,1.549,93.6664,76.8914,40.0261,65.4095,67.7504,96.7592,0.9325,154.7566,14.8144,9,0.3926,1.5762,0.7038,0.7174,0.7917,66.2127
27,27,MN53,dead,5.9,yes,AF,af,1,Shrubs,1113.28,1113.28,710.6,2263.33,73.8,51.32,160.32,343.25,81.12,7749.79,10.32,3.06,1.38,2.01,2.52,5.75,1.47,52.89,20.61,0.7,0.4,225,27,MN53,AF,af,1,Shrubs,3,15.94,1.16,27,MN53,AF,af,1,Shrubs,1961.6875,2600,132.5389,46.7295,534050,272.2401,31.2141,0.7545,442.3899,0.0625,1.1921,14.646,1.0356,1.2932,1411.9373,554.6755,0.2589,0.6044,0.1065,0.6391,1.5511,189.8352,80.7637,43.5646,65.3328,63.2444,98.2004,0.7745,442.3899,4.4343,9,0.4588,1.4571,0.6607,0.6631,0.7433,66.1644
28,28,MN56,Betula,9.8,yes,AF,af,1,Forest,402.98,402.98,701.46,1568.69,546.15,19.34,449.34,149.36,12.27,7487.23,11.36,3.64,1.29,1.93,4.23,5.1,1.39,52.65,18.42,2.2,1.26,296.5,28,MN56,AF,af,1,Forest,2,19.36,0.11,28,MN56,AF,af,1,Forest,1961.375,2535,129.2461,47.8746,524575,267.4527,30.6803,0.7737,464.5028,0.0625,1.1971,14.9186,1.0365,1.2915,1406.4776,545.1023,0.2666,0.5904,0.1098,0.645,1.5475,241.1328,83.8493,43.0163,65.9311,63.8529,98.284,0.7632,464.5028,4.2225,9,0.4589,1.4922,0.6686,0.6791,0.7522,66.7859
29,29,MN98,Salix,2.7,yes,AF,af,1,Wetland,416.58,416.58,455.6,570.23,209.75,65.59,409.36,880.95,247.7,6895.43,13.96,4.98,1.36,1.91,8.16,4.59,0.42,48.7,15.92,1.9,1.13,0,29,MN98,AF,af,1,Wetland,4,33.9,0,29,MN98,AF,af,1,Wetland,1961.5,2541,129.5437,45.5423,520400,265.3072,30.4451,0.7719,424.0976,0.0625,1.1886,14.8938,1.0356,1.2811,1399.9062,540.8106,0.2658,0.602,0.1118,0.6472,1.5364,227.2719,81.4474,41.0799,66.1993,65.8509,98.2979,0.7838,424.0976,4.6251,9,0.4588,1.5698,0.7066,0.7145,0.7949,67.0671
30,30,MN58,Betula,8.3,yes,AF,af,1,Forest,307.68,307.68,455.6,903.44,24.78,13.4,769.18,606.51,0.16,7143.38,12.66,4.59,1.32,1.92,6.61,4.89,0.59,51.38,16.04,1.4,0.8,225,30,MN58,AF,af,1,Forest,2,24.65,0,30,MN58,AF,af,1,Forest,1961.375,2517,128.3283,46.9282,517450,263.82,30.2789,0.7793,448.2,0.0625,1.1903,14.8064,1.0356,1.2882,1408.3445,537.837,0.2615,0.6021,0.1085,0.65,1.545,233.1357,81.8793,42.1788,66.3852,65.5049,98.2925,0.7715,448.2,4.3761,9,0.4589,1.5298,0.6852,0.6962,0.7709,67.2433
